	Count
L1/S12;L1/S4	2
V0/S1;V1/S7	2
F1/S8;T1/S4	2
E1/S6;K1/S10	2
S0/S6;K1/S7	3
E1/S7;S1/S7	2
L1/S10;M1/S5	2
G0/S10;L1/S3	2
K0/S6;Q1/S10	2
R0/S9;S0/S4	2
E1/S4;K1/S12	2
H0/S9;S0/S4	2
F1/S1;L1/S8	4
H1/S4;Q1/S9	2
L1/S8;V1/S6	2
H1/S11;I1/S6	2
K0/S6;K1/S3	1
A1/S7;T1/S10	2
K1/S2;P1/S5	2
F1/S12;L1/S8	4
F0/S5;H1/S12	2
N0/S1;L1/S7	2
E0/S7;S0/S8	4
L0/S12;S1/S11	2
F1/S5;M1/S7	2
K1/S9;Q1/S4	1
L1/S4;L1/S3	1
T0/S6;K1/S7	2
K0/S6;W1/S11	2
D0/S6;K1/S7	4
P0/S2;I1/S9	4
F1/S3;K1/S9	2
L0/S10;L1/S12	1
H0/S9;I0/S4	1
I0/S6;A1/S7	2
H1/S3;S1/S9	2
H1/S5;R1/S8	2
G0/S4;V0/S9	1
K1/S5;Q1/S4	2
P0/S1;Q0/S7	1
Q0/S5;L1/S12	2
H1/S4;Q1/S11	2
H0/S10;I1/S3	3
I1/S8;I1/S5	1
E1/S9;R1/S10	1
D0/S7;F0/S1	1
H0/S7;L0/S1	4
I1/S11;L1/S12	2
F1/S12;L1/S10	4
L1/S11;W1/S3	3
K0/S1;P1/S5	2
A0/S5;K1/S7	7
M1/S4;V1/S8	2
I1/S4;Q1/S9	3
E0/S2;S1/S9	2
A0/S6;L1/S11	2
R0/S9;A1/S4	2
K0/S9;T1/S3	2
A0/S6;G1/S7	2
R1/S9;S1/S4	2
H0/S10;E1/S2	2
G0/S8;D1/S2	1
L0/S6;I1/S7	6
L1/S9;R1/S6	2
L1/S12;M1/S12	2
E0/S9;H0/S4	2
H0/S6;P0/S5	2
H0/S6;E1/S7	2
P0/S8;Y0/S7	2
V0/S6;M1/S3	2
E1/S8;F1/S12	2
E1/S7;H1/S4	2
D1/S12;R1/S4	2
G0/S1;K0/S1	2
E1/S8;S1/S12	2
R0/S8;F1/S2	4
G0/S1;H1/S3	2
E1/S7;K1/S6	2
Y1/S10;Y1/S8	1
H0/S5;K1/S8	2
I0/S7;R0/S1	4
H1/S8;V1/S6	2
T0/S1;K1/S5	2
V0/S6;K1/S7	2
A0/S7;D0/S1	4
T0/S7;E1/S7	2
K0/S5;K1/S12	3
A1/S10;L1/S11	2
H0/S1;A1/S7	2
K0/S5;E1/S7	2
A0/S4;T0/S9	2
A0/S5;V1/S5	2
E0/S8;Y1/S11	2
I1/S5;I1/S11	1
L1/S10;V1/S10	3
N0/S10;V1/S5	2
F1/S4;V1/S12	2
P0/S2;E1/S1	2
K0/S7;E1/S8	1
A0/S4;D0/S9	2
A1/S8;T1/S3	2
H1/S8;L1/S11	2
V1/S9;V1/S5	1
F0/S7;I0/S1	1
H0/S4;L0/S9	1
I0/S1;K1/S7	1
A1/S4;T1/S9	4
A0/S4;A0/S9	1
A1/S6;R1/S8	2
A0/S8;E1/S2	2
I1/S11;L1/S8	2
G0/S6;Q1/S7	4
A0/S1;G0/S7	5
E0/S6;I1/S7	4
M0/S10;L1/S3	1
L1/S10;T1/S4	2
F1/S10;H1/S12	2
G0/S10;K1/S3	4
E1/S12;K1/S4	2
A1/S4;K1/S9	2
K1/S5;L1/S4	2
I1/S12;L1/S4	6
A1/S8;F1/S1	1
A1/S10;V1/S3	2
W0/S10;L1/S7	2
A0/S5;Y1/S7	2
F0/S7;L0/S9	2
L0/S6;L1/S7	11
E0/S5;W1/S7	2
E1/S7;K1/S1	4
I0/S6;L1/S7	4
A0/S7;A0/S1	3
H0/S2;T0/S2	2
L0/S1;L0/S7	2
H1/S10;I1/S7	2
E1/S11;K1/S8	2
K0/S7;L0/S1	3
D0/S2;E0/S1	2
H1/S2;L1/S3	1
A0/S7;T1/S9	2
K0/S8;T1/S3	4
K0/S8;K1/S10	2
L1/S1;Q1/S2	2
K0/S1;L0/S7	2
K0/S1;A1/S7	3
F1/S5;F1/S7	1
D0/S1;K0/S7	3
A1/S5;Y1/S6	2
L0/S8;L1/S10	1
K0/S7;R0/S1	2
H0/S8;F1/S7	2
V0/S1;A1/S7	2
K1/S7;L1/S6	2
I0/S6;F1/S11	2
K0/S10;L1/S7	3
F1/S12;L1/S11	2
P0/S5;Q1/S7	2
G0/S10;L1/S7	2
L1/S4;L1/S9	2
H0/S10;L0/S4	2
P0/S9;S0/S4	2
F1/S9;L1/S10	3
H1/S3;S1/S8	2
E0/S4;T1/S8	4
E0/S9;K0/S4	3
G0/S5;L1/S4	2
E1/S5;G1/S11	1
I0/S5;F1/S7	2
G0/S1;N0/S7	1
D1/S8;R1/S11	4
F1/S4;L1/S9	6
F0/S7;P0/S1	2
G0/S5;L1/S12	1
D0/S8;H1/S7	1
I1/S5;K1/S12	2
K1/S6;W1/S8	2
Y0/S5;A1/S11	2
V1/S7;W1/S1	3
I1/S5;V1/S12	4
L0/S6;H1/S7	6
F0/S6;L1/S11	1
D0/S1;I1/S7	2
E1/S5;R1/S11	2
M0/S5;V1/S5	2
I0/S5;L1/S5	2
A0/S6;Y1/S12	1
H0/S8;T1/S7	2
L1/S3;V1/S8	3
F1/S11;H1/S12	2
H1/S8;L1/S12	2
R0/S2;P1/S3	2
F0/S6;L1/S7	2
E0/S6;A1/S11	2
A0/S5;L1/S4	2
I0/S1;L1/S7	3
L1/S8;W1/S3	1
H0/S5;F1/S8	2
V0/S6;S1/S7	1
A1/S5;W1/S5	2
L1/S4;M1/S9	1
S0/S7;V0/S1	2
L1/S10;S1/S6	1
P0/S6;L1/S7	2
F1/S9;Q1/S5	2
I0/S7;L0/S1	3
E1/S9;K1/S3	2
A1/S10;E1/S11	2
I1/S6;I1/S10	1
M0/S1;S0/S7	1
I1/S12;K1/S3	2
E1/S10;I1/S5	1
L1/S11;M1/S6	1
G0/S6;N1/S7	2
A0/S1;A0/S7	2
H0/S4;Q0/S9	2
K1/S12;N1/S12	2
H1/S11;H1/S4	1
L0/S2;L0/S2	2
I0/S9;Y0/S4	1
V1/S5;V1/S9	1
G0/S9;L0/S4	1
G0/S1;Q1/S3	3
E1/S8;H1/S6	2
L1/S7;W1/S12	2
A1/S10;V1/S4	4
I1/S9;Y1/S3	2
H0/S5;R1/S12	2
E0/S1;I0/S7	2
H0/S6;H1/S7	2
M1/S5;V1/S6	2
E1/S1;K1/S11	2
L1/S5;V1/S4	1
S0/S10;H1/S2	2
E0/S7;T0/S8	2
A0/S8;D1/S3	4
F0/S8;L1/S6	2
E0/S1;S0/S7	5
N0/S10;E1/S3	2
H0/S10;I0/S7	2
K0/S1;K1/S3	2
I1/S4;L1/S12	1
V0/S5;V0/S10	1
H0/S1;D1/S7	1
E1/S1;V1/S4	2
H1/S11;K1/S8	2
A1/S5;I1/S6	3
R1/S7;V1/S10	2
K0/S5;I1/S11	1
F0/S6;P0/S5	1
D0/S4;L0/S9	2
A1/S10;K1/S9	2
H1/S7;S1/S10	2
A0/S1;K0/S7	7
I1/S10;Q1/S6	1
H0/S1;P1/S1	3
L1/S9;L1/S5	1
A1/S5;E1/S6	2
I1/S11;L1/S5	2
L0/S9;V1/S3	4
A0/S1;Y0/S7	2
K0/S6;Y1/S11	2
T1/S5;Y1/S10	2
R0/S8;H1/S2	2
A0/S7;M0/S1	2
H0/S8;Y1/S5	1
G0/S1;V0/S7	1
D1/S3;K1/S2	4
E1/S9;K1/S4	2
I0/S10;L1/S3	2
A1/S5;V1/S4	2
A0/S1;K0/S5	1
L1/S5;L1/S11	2
H1/S7;L1/S9	2
G0/S4;L0/S9	2
L0/S6;S1/S7	3
I1/S6;M1/S10	1
L1/S8;W1/S11	2
S0/S2;P1/S3	2
E0/S7;K0/S1	3
L1/S7;L1/S6	2
F0/S10;R0/S7	2
A1/S12;V1/S11	2
A1/S6;Y1/S7	2
H0/S6;E1/S3	2
D0/S10;R1/S10	2
L0/S6;F1/S7	4
I1/S3;L1/S10	3
K1/S11;K1/S5	1
H1/S4;R1/S8	2
N0/S2;P0/S2	2
I1/S11;N1/S5	2
R0/S6;I1/S7	5
H0/S10;N0/S7	2
E1/S3;P1/S2	2
L0/S1;S0/S7	9
A0/S5;Q1/S7	2
F1/S7;F1/S10	1
F0/S8;H1/S5	1
L0/S6;W1/S7	2
T0/S9;A1/S3	1
H1/S9;V1/S4	4
H1/S9;K1/S4	2
D1/S10;R1/S9	2
A0/S9;F0/S4	2
G1/S8;N1/S3	4
E1/S2;L1/S3	2
G1/S5;W1/S10	1
K1/S5;K1/S11	1
D0/S7;S1/S9	2
G0/S6;I1/S7	2
E0/S6;A1/S7	1
Q0/S5;F1/S6	2
A0/S7;D1/S9	2
F0/S8;K0/S4	2
I1/S5;L1/S11	3
D1/S10;G1/S7	1
A0/S6;A1/S7	2
Y0/S4;P1/S8	2
E0/S5;R1/S2	3
G0/S7;T0/S1	1
A0/S6;H1/S7	4
Y0/S8;Y1/S9	2
E1/S8;L1/S6	2
I0/S5;E1/S12	3
K0/S11;Q1/S5	2
F1/S4;H1/S7	2
H0/S9;P1/S5	1
I1/S5;M1/S8	1
F1/S10;F1/S11	1
A1/S12;K1/S8	2
Q0/S10;I1/S3	2
E1/S10;Y1/S5	2
L0/S5;F1/S6	1
K1/S4;Y1/S12	2
E1/S6;K1/S7	1
A0/S1;L0/S7	1
A0/S1;Q0/S7	1
E0/S1;L1/S7	2
I1/S11;I1/S5	1
L1/S9;T1/S12	2
I0/S2;Y1/S10	2
I0/S10;K1/S3	2
L1/S11;S1/S4	2
Y1/S8;Y1/S10	1
G0/S1;L0/S7	1
R0/S10;S1/S3	2
E1/S9;L1/S6	2
V0/S5;L1/S11	2
A0/S9;A0/S4	1
F1/S10;F1/S7	1
L0/S7;Q0/S1	1
E1/S3;W1/S9	2
E0/S6;S1/S7	6
G0/S2;Q0/S4	2
F0/S7;Y0/S6	1
V0/S9;W0/S4	1
S0/S6;I1/S7	2
D1/S10;L1/S11	2
E1/S6;I1/S10	2
A0/S1;H0/S7	2
V0/S6;V1/S10	2
L0/S10;L1/S3	4
I1/S10;M1/S10	1
I1/S11;V1/S10	1
L1/S6;L1/S8	1
T1/S4;V1/S9	3
D0/S7;V0/S9	2
F1/S7;F1/S5	1
G0/S6;V1/S7	4
L0/S1;V0/S2	1
A0/S6;K1/S7	6
K0/S9;Q0/S4	1
G0/S11;E1/S4	2
H1/S9;S1/S4	2
D1/S1;K1/S7	2
I0/S4;Q0/S9	1
D1/S4;L1/S9	2
A0/S10;K1/S3	2
I0/S6;A1/S11	1
L1/S4;Y1/S4	2
D0/S6;A1/S7	1
F1/S6;L1/S12	1
L1/S8;N1/S1	3
F1/S11;L1/S5	6
F1/S3;R1/S2	2
Q0/S6;L1/S9	1
K0/S6;V1/S7	1
I0/S9;L0/S4	2
