	Count
D121	7
D95	5
D3	966
D55	35
D28	18
D75	16
D2	509
D4	716
D45	29
D5	158
D59	11
D58	15
D1	465
D9	51
D114	3
D67	26
D35	22
D101	4
D6	96
D11	54
D54	35
D20	20
D127	6
D91	10
D82	15
D7	97
D120	7
D14	46
D128	6
D22	23
D52	28
D15	21
D117	13
D10	56
D16	31
D124	8
D66	26
D18	25
D94	8
D98	4
D39	31
D42	37
D69	15
D72	8
D78	6
D34	21
D49	20
D36	17
D56	16
D79	13
D32	12
D44	28
D132	4
D8	53
D26	30
D106	4
D118	4
D12	38
D53	18
D61	12
D70	22
D64	34
D57	11
D62	14
D65	31
D103	3
D136	4
D31	23
D23	26
D109	6
D25	24
D41	33
D110	3
D63	21
D131	6
D24	44
D48	20
D27	32
D19	17
D13	40
D68	33
D74	17
D83	22
D73	18
D21	17
D30	18
D47	30
D38	12
D86	12
D135	5
D40	19
D102	4
D87	13
D278	7
D217	4
D146	4
D84	18
D200	8
D195	2
D143	7
D213	7
D276	7
D181	14
D139	5
D219	2
D89	18
D122	5
D252	8
D157	4
D80	14
D71	24
D256	7
D330	3
D46	33
D183	9
D88	6
D130	8
D43	17
D253	2
D187	2
D33	10
D324	2
D202	4
D180	12
D279	2
D81	15
D201	4
D144	8
D186	4
D216	2
D280	2
D60	9
D138	2
D161	2
D255	7
D207	3
D185	2
D277	12
D322	4
D140	6
D17	17
D90	14
D51	48
D178	13
D142	6
D199	6
D170	2
D116	3
D173	4
D159	2
D168	2
D76	4
D133	11
D182	11
D50	18
D258	4
D134	6
D223	2
D165	4
D275	5
D179	6
D191	2
D85	14
D149	2
D197	2
D184	6
D29	14
D282	4
D189	3
D166	2
D141	4
D163	4
D254	2
D204	2
D320	3
D145	3
D177	4
D147	4
D203	4
D319	1
D119	5
D150	7
D176	4
D317	2
D137	2
D169	4
D37	10
D224	5
D196	4
D193	2
D284	2
D192	2
D188	1
D349	2
D77	2
D314	2
D148	2
D171	6
D112	4
D250	2
D316	2
D211	14
D272	2
D229	2
D126	3
D158	2
D162	2
D323	1
D113	3
D273	1
D97	3
D175	7
D167	4
D160	2
D210	8
D96	4
D154	3
D208	2
D218	2
D225	2
D209	2
D222	5
D92	2
D221	1
D205	2
D99	2
D153	4
D151	5
D100	3
D212	2
D156	2
D174	1
D125	1
D220	2
