	Particle.Sector.Pair	Sequence.Difference	Count
E0/S3;G0/9|-1	E0/S3;G0/9	-1	5
F0/S9;G0/3|1	F0/S9;G0/3	1	3
S0/S12;S1/1|0	S0/S12;S1/1	0	89
H0/S3;L0/9|1	H0/S3;L0/9	1	2
F0/S9;K0/3|-1	F0/S9;K0/3	-1	3
D0/S9;V0/3|1	D0/S9;V0/3	1	5
K0/S3;K0/8|1	K0/S3;K0/8	1	1
K0/S11;K1/2|0	K0/S11;K1/2	0	47
P0/S7;P1/6|0	P0/S7;P1/6	0	24
K0/S9;Y0/3|1	K0/S9;Y0/3	1	2
K0/S12;K1/1|0	K0/S12;K1/1	0	67
L0/S11;L1/2|0	L0/S11;L1/2	0	98
D0/S3;Q0/8|-1	D0/S3;Q0/8	-1	1
L0/S3;V0/8|-1	L0/S3;V0/8	-1	3
Y0/S11;Y1/2|0	Y0/S11;Y1/2	0	21
F0/S11;F1/2|0	F0/S11;F1/2	0	39
F0/S3;N0/9|-1	F0/S3;N0/9	-1	2
F0/S3;R0/9|-1	F0/S3;R0/9	-1	2
E0/S11;E1/2|0	E0/S11;E1/2	0	25
I0/S9;P0/3|1	I0/S9;P0/3	1	1
T0/S12;T1/1|0	T0/S12;T1/1	0	94
H0/S9;L0/3|1	H0/S9;L0/3	1	4
L0/S12;L1/1|0	L0/S12;L1/1	0	31
F0/S3;R0/9|1	F0/S3;R0/9	1	1
K0/S3;K0/9|1	K0/S3;K0/9	1	6
H0/S11;H1/2|0	H0/S11;H1/2	0	38
E0/S12;E1/1|0	E0/S12;E1/1	0	63
G0/S12;G1/1|0	G0/S12;G1/1	0	87
D0/S11;D1/2|0	D0/S11;D1/2	0	48
V0/S12;V1/1|0	V0/S12;V1/1	0	95
P0/S4;P1/9|0	P0/S4;P1/9	0	34
K0/S8;S0/3|-1	K0/S8;S0/3	-1	1
R0/S11;R1/2|0	R0/S11;R1/2	0	38
A0/S12;A1/1|0	A0/S12;A1/1	0	124
E0/S3;L0/8|-1	E0/S3;L0/8	-1	2
L0/S9;S0/3|1	L0/S9;S0/3	1	4
K0/S3;N0/8|1	K0/S3;N0/8	1	1
K0/S3;M0/8|1	K0/S3;M0/8	1	1
Q0/S10;Q1/3|0	Q0/S10;Q1/3	0	3
I0/S3;K0/9|-1	I0/S3;K0/9	-1	2
E0/S9;K0/3|-1	E0/S9;K0/3	-1	1
E0/S3;P0/9|-1	E0/S3;P0/9	-1	1
K0/S9;K0/3|-1	K0/S9;K0/3	-1	6
