	Count
Q0/S12;Q1/1	34
A0/S8;Q0/3	2
D0/S12;D1/1	30
H0/S9;P0/3	9
E0/S12;E1/1	63
E0/S11;E1/2	25
K0/S11;K1/2	47
L0/S3;V0/8	6
G0/S8;H0/3	2
A0/S8;M0/3	2
S0/S12;S1/1	89
Q0/S3;W0/9	2
A0/S3;I0/8	8
L0/S11;L1/2	98
G0/S3;P0/8	2
E0/S10;E1/3	4
E0/S9;F0/3	5
A0/S3;V0/8	2
G0/S9;V0/3	6
H0/S3;K0/9	3
K0/S9;T0/3	7
D0/S3;Q0/8	2
M0/S9;N0/3	2
I0/S9;K0/3	2
H0/S3;K0/8	4
L0/S9;T0/3	6
K0/S3;Y0/8	2
K0/S12;K1/1	67
G0/S12;G1/1	87
F0/S11;F1/2	39
D0/S11;D1/2	48
I0/S12;I1/1	81
R0/S12;R1/1	32
K0/S3;L0/9	7
F0/S12;F1/1	2
P0/S7;P1/6	24
D0/S3;K0/8	2
H0/S9;K0/3	4
A0/S12;A1/1	124
K0/S3;K0/9	6
E0/S3;G0/9	10
F0/S9;K0/3	6
P0/S4;P1/9	34
T0/S8;V0/3	4
A0/S8;I0/3	5
H0/S12;H1/1	9
K0/S8;S0/3	2
A0/S3;D0/8	2
E0/S9;W0/3	2
A0/S9;D0/3	8
G0/S8;Q0/3	2
V0/S12;V1/1	95
A0/S3;E0/9	6
E0/S9;L0/3	12
K0/S3;M0/8	2
A0/S8;L0/3	8
H0/S9;H0/3	2
D0/S8;I0/3	2
I0/S3;L0/9	4
K0/S3;K0/8	1
Q0/S10;Q1/3	3
K0/S3;L0/8	2
D0/S9;I0/3	9
L0/S3;V0/9	5
A0/S9;K0/3	7
A0/S3;E0/8	7
G0/S3;Q0/8	2
E0/S8;M0/3	4
M0/S12;M1/1	10
R0/S11;R1/2	38
G0/S3;L0/9	12
E0/S3;L0/8	6
A0/S9;E0/3	5
K0/S9;V0/3	3
E0/S4;E1/9	6
D0/S3;E0/9	5
L0/S3;Q0/8	4
A0/S3;T0/8	6
W0/S11;W1/2	6
D0/S8;R0/3	4
T0/S3;V0/9	6
L0/S12;L1/1	31
Y0/S11;Y1/2	21
H0/S9;V0/3	2
T0/S12;T1/1	94
G0/S9;N0/3	9
H0/S11;H1/2	38
D0/S3;F0/9	2
K0/S9;Y0/3	4
A0/S3;L0/8	7
I0/S9;S0/3	4
I0/S9;R0/3	6
F0/S3;R0/9	3
E0/S3;P0/9	2
H0/S3;L0/9	4
A0/S9;Q0/3	2
R0/S3;S0/8	2
N0/S11;N1/2	46
E0/S9;K0/3	2
A0/S3;H0/9	3
Q0/S9;S0/3	3
E0/S3;T0/9	4
